compound_id|flavor_id|flavor_name
15027|848|waxy
15028|33|floral
15028|48|melon
15028|81|fruity
15028|162|fresh
15028|194|muguet
15029|33|floral
15029|54|woody
15029|277|amber
15030|59|green
15030|162|fresh
15030|415|cortex
15030|605|metallic
15030|631|nasturtium
15030|850|weedy
15031|59|green
15031|531|herbal
15031|788|sugar
15031|793|syrup
15032|59|green
15032|67|musty
15032|98|nutty
15033|44|sweet
15033|52|maple
15035|44|sweet
15035|59|green
15035|81|fruity
15036|5|vegetable
15036|95|sulfurous
15036|108|smoky
15036|231|sulfur
15036|273|alliaceous
15036|751|savory
15037|57|meaty
15037|310|beefy
15037|702|repulsive
15038|33|floral
15038|57|meaty
15038|141|coffee
15038|751|savory
15039|13|butter
15039|17|oily
15039|75|coconut
15040|24|gardenia
15040|33|floral
15040|81|fruity
15040|86|plum
15040|88|raspberry
15040|838|very sweet
15042|229|spice
15042|245|warm
15043|57|meaty
15043|713|roasted in sugar syrup
15045|44|sweet
15045|59|green
15045|67|musty
15045|70|apricot
15045|81|fruity
15045|85|pineapple
15045|814|tropical
15046|37|balsam
15046|44|sweet
15046|415|cortex
15047|17|oily
15047|18|fatty
15047|59|green
15047|98|nutty
15047|560|lactonic
15047|711|roasted
15048|17|oily
15048|59|green
15048|75|coconut
15048|348|buttered
15048|412|cookies
15048|551|jasmin
15048|657|painty
15048|848|waxy
15051|81|fruity
15051|138|cat
15051|217|roast
15051|531|herbal
15051|711|roasted
15051|791|sweaty
15052|95|sulfurous
15052|103|minty
15052|125|black currant
15052|138|cat
15052|322|blackcurrant
15052|373|catty
15052|814|tropical
15054|18|fatty
15054|48|melon
15054|50|citrus
15054|848|waxy
15056|75|coconut
15056|81|fruity
15056|98|nutty
15056|172|herb
15059|15|creamy
15059|40|chocolate
15059|44|sweet
15059|45|vanilla
15059|434|dairy
15059|684|powdery
15064|15|creamy
15064|21|spicy
15064|44|sweet
15064|45|vanilla
15066|17|oily
15066|81|fruity
15066|102|tobacco
15067|17|oily
15067|44|sweet
15067|59|green
15067|531|herbal
15068|21|spicy
15068|33|floral
15068|37|balsam
15068|40|chocolate
15068|81|fruity
15068|392|cinnamyl
15068|551|jasmin
15068|566|leather
15069|17|oily
15069|164|fruit
15069|197|nut
15069|382|cherry-pit
15069|460|ethereal
15069|664|peach-pit
15070|44|sweet
15070|48|melon
15070|72|berry
15070|81|fruity
15070|709|ripe
15070|814|tropical
15071|81|fruity
15071|467|faint
15072|17|oily
15072|39|caramel
15072|44|sweet
15072|59|green
15072|100|walnut
15072|695|radish
15073|59|green
15073|81|fruity
15073|84|pear
15073|453|dry
15073|709|ripe
15073|736|rummy
15073|814|tropical
15074|35|violet
15074|44|sweet
15074|48|melon
15074|58|leafy
15074|59|green
15074|81|fruity
15074|176|leaf
15074|814|tropical
15074|848|waxy
15076|33|floral
15076|35|violet
15076|59|green
15076|568|leaves
15077|59|green
15077|69|apple
15077|72|berry
15077|81|fruity
15077|155|ester
15077|172|herb
15077|199|oil
15077|848|waxy
15078|44|sweet
15078|202|orris
15078|249|wine
15079|17|oily
15079|59|green
15079|162|fresh
15079|814|tropical
15079|848|waxy
15080|59|green
15080|67|musty
15080|81|fruity
15080|848|waxy
15081|18|fatty
15081|81|fruity
15082|31|lily
15082|46|lemon
15082|59|green
15082|323|bland
15082|551|jasmin
15083|44|sweet
15083|59|green
15083|71|banana
15083|81|fruity
15083|85|pineapple
15083|848|waxy
15085|21|spicy
15085|81|fruity
15085|245|warm
15085|531|herbal
15086|46|lemon
15086|75|coconut
15086|81|fruity
15086|460|ethereal
15086|824|unripe banana
15087|675|phenolic
15088|81|fruity
15088|85|pineapple
15089|44|sweet
15089|59|green
15089|81|fruity
15089|83|peach
15089|85|pineapple
15089|814|tropical
15090|18|fatty
15090|44|sweet
15090|59|green
15090|69|apple
15090|81|fruity
15090|84|pear
15090|85|pineapple
15090|459|estery
15091|13|butter
15091|14|cheese
15091|15|creamy
15091|72|berry
15091|81|fruity
15091|258|acetic
15091|450|dried berry
15092|44|sweet
15092|67|musty
15092|81|fruity
15095|59|green
15095|70|apricot
15095|71|banana
15095|81|fruity
15095|85|pineapple
15095|848|waxy
15096|31|lily
15096|59|green
15096|453|dry
15096|531|herbal
15096|551|jasmin
15097|81|fruity
15097|156|ether
15097|685|powerful
15098|69|apple
15098|72|berry
15098|81|fruity
15098|97|hazelnut
15098|814|tropical
15100|21|spicy
15100|54|woody
15100|98|nutty
15100|102|tobacco
15100|404|clean
15100|453|dry
15100|675|phenolic
15100|684|powdery
15101|27|hyacinth
15101|42|honey
15101|58|leafy
15101|81|fruity
15101|848|waxy
15244|54|woody
15267|33|floral
15267|44|sweet
15267|164|fruit
15268|33|floral
15268|70|apricot
15268|81|fruity
15268|86|plum
15268|551|jasmin
15269|21|spicy
15269|37|balsam
15269|44|sweet
